Municipio,latitude,longitude
São João Do Ivaí,"-23,99257338","-51,84804475"
São João Do Triunfo,"-25,67001759","-50,28676798"
São Jorge D'oeste,"-25,65587961","-52,94000525"
São Jorge Do Ivaí,"-23,43510585","-52,31700659"
São Jorge Do Patrocínio,"-23,73870656","-53,94770358"
São José Da Boa Vista,"-23,95865509","-49,67121117"
São José Das Palmeiras,"-24,81546222","-54,11955665"
São José Dos Pinhais,"-25,66436833","-49,09495352"
São Manoel Do Paraná,"-23,37241516","-52,61240132"
São Mateus Do Sul,"-25,908201","-50,44204242"
São Miguel Do Iguaçu,"-25,38755288","-54,2620102"
São Pedro Do Iguaçu,"-24,90649594","-53,89071027"
São Pedro Do Ivaí,"-23,84553427","-51,87170251"
São Pedro Do Paraná,"-22,78490546","-53,18130137"
São Sebastião Da Amoreira,"-23,45534036","-50,72256906"
São Tomé,"-23,52449395","-52,53877019"
Sapopema,"-23,87512894","-50,60457204"
Sarandi,"-23,46824881","-51,86711099"
Saudade Do Iguaçu,"-25,71322269","-52,60438876"
Sengés,"-24,24910451","-49,45598283"
Serranópolis Do Iguaçu,"-25,47698011","-54,02760608"
Sertaneja,"-22,93423723","-50,8749587"
Sertanópolis,"-23,05731015","-51,07202456"
Siqueira Campos,"-23,63917599","-49,79295469"
Sulina,"-25,69343715","-52,7185111"
Tamarana,"-23,82223016","-51,05191642"
Tamboara,"-23,19851832","-52,48405365"
Tapejara,"-23,65844183","-52,89029657"
Tapira,"-23,32915837","-53,13405428"
Teixeira Soares,"-25,31340354","-50,40851127"
Telêmaco Borba,"-24,25000074","-50,52247316"
Terra Boa,"-23,69656123","-52,38798415"
Terra Rica,"-22,72932623","-52,68162713"
Terra Roxa,"-24,20878805","-54,06276094"
Tibagi,"-24,65572282","-50,46870099"
Tijucas Do Sul,"-25,90152301","-49,11215224"
Toledo,"-24,70483558","-53,77747288"
Tomazina,"-23,72537056","-49,96263712"
Três Barras Do Paraná,"-25,43882546","-53,22465022"
Tunas Do Paraná,"-24,95262968","-48,90266654"
Tuneiras Do Oeste,"-23,87922802","-52,84353043"
Tupãssi,"-24,64602775","-53,5093065"
