index,Ano,Chuva_Anahy,Chuva_Arapuã,Chuva_Ariranha do Ivaí,Chuva_Boa Esperança,Chuva_Boa Vista da Aparecida,Chuva_Campina da Lagoa,Chuva_Campo Mourão,Chuva_Capanema,Chuva_Capitão Leônidas Marques,Chuva_Céu Azul,Chuva_Corumbataí do Sul,Chuva_Cruzmaltina,Chuva_Diamante D'Oeste,Chuva_Entre Rios do Oeste,Chuva_Foz do Iguaçu,Chuva_Grandes Rios,Chuva_Iguatu,Chuva_Iracema do Oeste,Chuva_Itaipulândia,Chuva_Ivaiporã,Chuva_Juranda,Chuva_Lidianópolis,Chuva_Luiziana,Chuva_Manoel Ribas,Chuva_Marechal Cândido Rondon,Chuva_Marilândia do Sul,Chuva_Matelândia,Chuva_Medianeira,Chuva_Mercedes,Chuva_Missal,Chuva_Nova Aurora,Chuva_Ouro Verde do Oeste,Chuva_Pato Bragado,Chuva_Planalto,Chuva_Ramilândia,Chuva_Realeza,Chuva_Rio Branco do Ivaí,Chuva_Rosário do Ivaí,Chuva_Santa Helena,Chuva_Santa Lúcia,Chuva_Santa Terezinha de Itaipu,Chuva_São José das Palmeiras,Chuva_São Miguel do Iguaçu,Chuva_São Pedro do Iguaçu,Chuva_Serranópolis do Iguaçu,Chuva_Tupãssi,Chuva_Ubiratã,Chuva_Vera Cruz do Oeste
20,2011,101.571696625,56.416507585000005,60.097040024999984,69.98503762499999,88.387699825,108.10876170499999,59.108240265000006,99.978630345,88.332766505,100.363163585,58.44904042499999,73.00637022500001,85.750900465,111.294894265,86.574900265,66.79890506499999,90.200499385,85.91570042500001,87.948233265,61.305573065000004,59.382906864999995,64.10717238499998,72.07250378500001,67.458104905,97.506630945,87.72849998499998,81.685834785,102.230896465,84.59730074499998,78.82930214499999,98.001030825,104.208495985,109.097561465,92.61756546499998,86.79463354500001,90.694899265,65.42557206500001,64.93117218500001,112.503427305,103.329562865,86.574900265,110.635694425,106.790362025,86.79463354500001,88.66236642499999,116.12902642499999,89.54129954499999,87.78343330499999
21,2012,106.515695425,96.023431305,127.994623545,103.988762705,108.438361625,103.054896265,128.983423305,100.473030225,106.405828785,97.671430905,88.22289986499999,88.058099905,95.913564665,109.811694625,82.070368025,101.736496585,111.67942750499999,113.162627145,95.034631545,122.611158185,82.125301345,93.221831985,111.294894265,113.711960345,108.54822826499999,86.629833585,89.321566265,88.332766505,103.823962745,86.135433705,109.372228065,123.270358025,112.723160585,100.30823026499999,93.11196534499999,98.001030825,133.378088905,93.221831985,95.80369802499999,104.812762505,82.070368025,105.691695625,75.31356966499999,108.32849498499999,88.22289986499999,103.054896265,111.734360825,98.330630745
22,2013,89.761032825,121.512491785,144.474619545,108.163695025,135.245821785,102.066096505,108.10876170499999,102.670363025,132.828755705,171.172213065,71.68797054499998,105.032495785,132.169555865,68.337038025,139.86022066499999,112.11889406499999,100.30823026499999,81.191434905,148.64955186499998,131.83995594499999,102.725296345,90.91463254499999,144.25488626499998,133.707688825,70.42450418499999,63.502905865,159.96581578500002,164.360481385,69.270904465,142.277286745,77.675702425,103.164762905,73.226103505,107.998895065,152.82448418500002,109.042628145,144.474619545,138.54182098500002,88.11303322500001,128.873556665,139.86022066499999,110.470894465,146.342352425,149.748218265,127.115690425,98.770097305,100.033563665,159.636215865
23,2014,77.181302545,156.999416505,166.118347625,156.230350025,158.53754946499998,81.685834785,150.956751305,151.725817785,149.858084905,191.387674825,134.037288745,175.127412105,197.650073305,149.418618345,154.362617145,174.468212265,80.861834985,80.477301745,164.470348025,162.60261514500002,134.257022025,163.261814985,159.08688266500002,153.923150585,131.070889465,77.620769105,144.035152985,164.140748105,100.143430305,205.78020466499999,72.896503585,111.954094105,152.385017625,153.70341730500002,206.219671225,131.620222665,161.613815385,152.82448418500002,154.362617145,170.62287986500002,154.362617145,174.028745705,154.58235042500002,173.479412505,125.907157385,78.38983558499999,81.57596814499999,199.407939545
24,2015,94.75996494500001,86.245300345,84.98183398500001,95.85863134499999,67.897571465,82.070368025,101.846363225,57.240507385,83.059167785,86.574900265,97.122097705,86.190367025,94.540231665,99.594097105,64.54663894499998,83.608500985,89.43143290500001,102.835162985,72.896503585,89.706099505,86.95943350499999,90.36529934500001,112.503427305,83.553567665,113.272493785,81.41116818500001,64.05223906500001,87.508766705,108.658094905,85.14663394499999,106.295962145,88.60743310499998,104.208495985,61.08583978499999,97.946097505,81.191434905,86.190367025,85.14663394499999,101.681563265,81.13650158499999,64.54663894499998,93.88103182500001,65.205838785,106.570628745,60.48157326500001,107.614361825,87.72849998499998,92.67249878499999
25,2016,56.691174184999994,56.361574265,67.897571465,86.79463354500001,65.09597214499999,78.499702225,76.357302745,64.93117218500001,69.161037825,69.38077110500001,71.30343730499999,46.665843284999994,86.35516698500001,75.25863634499999,90.85969922499999,51.69224206499999,68.06237142500001,75.148769705,82.78450118500001,65.53543870499999,60.97597314500001,60.371706625,73.11623686499999,68.886371225,75.533302945,174.907678825,118.546092505,94.265565065,74.709303145,75.533302945,67.23837162499998,54.933307944999996,75.038903065,73.335970145,80.037835185,96.407964545,53.77970822500001,53.39517498500001,77.07143590499999,72.457037025,90.85969922499999,77.181302545,109.097561465,60.48157326500001,130.85115618499998,66.084771905,68.22717138499999,63.393039224999995
26,2017,81.740768105,90.36529934500001,88.827166385,60.92103982500001,98.330630745,81.685834785,67.128504985,73.610636745,103.65916278499999,108.32849498499999,62.349306144999986,129.532756505,183.47727674499998,148.64955186499998,101.242096705,115.030360025,89.10183298499999,88.99196634500001,120.084225465,112.283694025,75.862902865,121.732225065,81.191434905,85.86076710500001,75.75303622499999,65.91997194499999,112.393560665,102.011163185,72.67677030499999,172.600479385,82.180234665,116.34875970499999,106.845295345,69.270904465,186.443676025,92.23303222499999,81.85063474500001,94.37543170500001,163.371681625,104.483162585,101.242096705,168.535413705,124.58875770499999,154.142883865,126.236757305,84.047967545,90.145566065,158.098082905
27,2018,83.938100905,42.133844385,53.807174884999995,52.37890856499999,70.31463754500001,74.48956986499999,45.072777005000006,106.021295545,62.514106104999996,89.98076610499999,41.22744460499999,39.46957836499999,71.68797054499998,98.440497385,71.413303945,39.71677830499999,100.74769682499999,75.038903065,59.822373424999995,45.704510185000004,59.16317358500001,47.270109805000004,41.007711325,40.018911564999996,84.377567465,58.28424046500001,107.010095305,90.31036602500001,81.08156826499999,61.85490626500001,78.499702225,89.04689966500001,82.29010130500001,114.590893465,69.98503762499999,91.079432505,41.74931114500001,42.820510885000004,88.003166585,67.29330494499999,71.413303945,84.26770082499999,61.03090646499999,67.952504785,86.739700225,88.55249978500001,98.879963945,82.070368025
28,2019,78.44476890499999,83.883167585,72.12743710499998,101.626629945,46.94050988500001,68.50183798500001,77.236235865,66.90877170499999,46.308776704999985,57.679973945,77.730635745,80.422368425,51.719708725000004,69.10610450499999,70.973837385,75.80796954499999,65.315705425,62.129572865,64.436772305,71.907703825,81.57596814499999,74.87410310499999,83.443701025,80.422368425,77.89543570500001,53.69730824499999,73.06130354499999,64.16210570499999,85.641033825,59.877306745,68.337038025,60.261839984999995,75.20370302500001,68.831437905,51.14290886500001,60.64637322499999,70.31463754500001,65.645305345,60.15197334499999,45.56717688500001,70.973837385,64.766372225,62.788772704999985,52.598641845,54.850907965000005,99.374363825,70.80903742499999,57.130640744999994
29,2020,162.492748505,74.43463654499999,98.495430705,117.00795954499999,71.19357066500001,147.331152185,99.319430505,63.61277250500001,70.86397074499999,81.740768105,86.79463354500001,69.325837785,84.15783418499998,94.37543170500001,68.17223806499999,83.77330094499999,163.591414905,116.34875970499999,66.084771905,90.85969922499999,146.122619145,73.06130354499999,111.294894265,75.478369625,98.550364025,73.610636745,74.599436505,80.916768305,94.04583178499999,76.412236065,143.815419705,87.948233265,99.86876370499999,78.170102305,80.20263514499999,81.795701425,89.48636622500001,81.41116818500001,89.59623286499999,69.82023766500001,68.17223806499999,72.347170385,74.159969945,79.158902065,75.80796954499999,131.510356025,148.979151785,88.66236642499999
30,2021,112.503427305,101.626629945,98.825030625,89.761032825,82.180234665,90.639965945,92.56263214500001,58.66877370500001,80.14770182499998,105.307162385,90.42023266499999,97.231964345,61.305573065000004,64.876238865,91.73863234499998,80.14770182499998,118.875692425,118.326359225,85.14663394499999,88.442633145,81.685834785,90.31036602500001,97.891164185,104.043696025,80.751968345,81.191434905,99.86876370499999,85.201567265,78.33490226500001,78.664502185,116.019159785,62.89863934499999,65.97490526499999,58.72370702500001,62.953572664999996,58.174373825,97.506630945,102.230896465,56.746107505,73.335970145,91.73863234499998,66.35943850499999,80.422368425,69.98503762499999,73.00637022500001,109.866627945,104.208495985,93.16689866499999
